Generated with:

import os
from idautils import *
from idaapi import *
from idc import *

for segea in Segments():
    for ea in Functions(segea, SegEnd(segea)):
        eaEnd = FindFuncEnd(ea)
        startOffset = idaapi.get_fileregion_offset(ea)
        endOffset = idaapi.get_fileregion_offset(eaEnd)
        
        print str(hex(ea))[:-1] + ", " + str(startOffset) + ", " + str(endOffset)

Needs adding to build.ps1 with the first column as the selector for the inputs to mdasm.exe

0x8002b62c, 114220, 114376
0x8002b6c8, 114376, 114448
0x8002b710, 114448, 114556
0x8002b77c, 114556, 114772
0x8002ca48, 119368, 119468
0x8002d1a8, 121256, 121308
0x8002d1dc, 121308, 121352
0x8002d208, 121352, 121600
0x8002d300, 121600, 121840
0x8002d3f0, 121840, 121856
0x8002d400, 121856, 122032
0x8002d4b0, 122032, 122112
0x8002d500, 122112, 122160
0x8002d530, 122160, 122400
0x8002d620, 122400, 122584
0x8002d7dc, 122844, 123412
0x8002da14, 123412, 124020
0x8002dc74, 124020, 124084
0x8002dcb4, 124084, 124108
0x8002dccc, 124108, 124180
0x8002dd1c, 124188, 124384
0x8002dde0, 124384, 125368
0x8002e1b8, 125368, 125608
0x8002e374, 125812, 125840
0x8002e390, 125840, 125980
0x8002e41c, 125980, 126048
0x8002e460, 126048, 126216
0x8002e508, 126216, 126276
0x8002e588, 126344, 126484
0x8002e614, 126484, 126528
0x8002e640, 126528, 126600
0x8002e688, 126600, 127188
0x8002e8d4, 127188, 127260
0x8002e91c, 127260, 127592
0x8002ea68, 127592, 127656
0x8002eaa8, 127656, 127672
0x8002eab8, 127672, 127708
0x8002eadc, 127708, 127872
0x8002eb80, 127872, 127976
0x8002ebe8, 127976, 128140
0x8002ec8c, 128140, 128228
0x8002ece4, 128228, 128316
0x8002ed3c, 128316, 128360
0x8002ed68, 128360, 128516
0x8002ee04, 128516, 128640
0x8002ee80, 128640, 128776
0x8002ef08, 128776, 128904
0x8002ef88, 128904, 129032
0x8002f008, 129032, 129172
0x8002f094, 129172, 129480
0x8002f1c8, 129480, 129652
0x8002f274, 129652, 129924
0x8002f384, 129924, 130500
0x8002f5c4, 130500, 130636
0x8002f64c, 130636, 130956
0x8002f78c, 130956, 131756
0x8002faac, 131756, 131924
0x8002fb54, 131924, 132032
0x8002fbc0, 132032, 132184
0x8002fc58, 132184, 132260
0x8002fca4, 132260, 132336
0x8002fcf0, 132336, 132484
0x8002fd9c, 132508, 133400
0x80030118, 133400, 133712
0x80030250, 133712, 134112
0x800303e0, 134112, 134300
0x800306a0, 134816, 135008
0x80030760, 135008, 135196
0x80030850, 135248, 135304
0x80030888, 135304, 135392
0x800308e0, 135392, 135480
0x80030938, 135480, 135552
0x80030980, 135552, 135592
0x800309a8, 135592, 135604
0x800309b4, 135604, 135672
0x80030aec, 135916, 135996
0x80030b3c, 135996, 136300
0x80030c6c, 136300, 136752
